Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label
HAT-P-29 b,12.408,247.261,0.0667,6087.0,0
HAT-P-29 b,11.926376,243.77561,0.0665,6115.0,0
HAT-P-29 b,12.408363,214.85308,0.06669,6087.0,0
HAT-P-3 b,10.614923,185.61272,0.03842,5185.0,0
HAT-P-3 b,10.076891,193.55847,0.03899,5185.0,0
HAT-P-3 b,9.97601,190.38017,0.03894,5185.0,0
HAT-P-3 b,9.27,187.83,0.03866,5185.0,0
HAT-P-3 b,10.211399,189.10885,0.03878,5190.0,0
HAT-P-3 b,10.076891,189.42668,0.03882,5185.0,0
HAT-P-30 b,15.02006,237.10118,0.0419,6304.0,0
HAT-P-30 b,15.02,225.968,0.0419,6304.0,0
HAT-P-31 b,11.99363,682.38101,0.061,6070.0,0
HAT-P-31 b,11.99,689.98,0.055,6065.0,0
HAT-P-32 b,22.19382,216.1244,0.03397,6001.0,0
HAT-P-32 b,20.052901,238.3725,0.03427,6207.0,0
HAT-P-32 b,20.053,273.322,0.0343,6207.0,0
HAT-P-33 b,18.898374,209.7678,0.04995,6446.0,0
HAT-P-33 b,18.898,242.176,0.0499,6446.0,0
HAT-P-34 b,13.417,1057.694,0.0677,6442.0,0
HAT-P-34 b,13.417173,1058.3739,0.06774,6442.0,0
HAT-P-35 b,14.930388,335.62848,0.04978,6096.0,0
HAT-P-35 b,14.93,334.979,0.0498,6096.0,0
HAT-P-36 b,14.168,582.24,0.0238,5560.0,0
HAT-P-36 b,14.313893,587.413406,0.0241,5620.0,0
HAT-P-36 b,15.210613,611.82275,0.02402,5560.0,0
HAT-P-36 b,14.616536,588.62116,0.02388,5620.0,0
HAT-P-36 b,14.168176,587.9855,0.02382,5560.0,0
HAT-P-37 b,13.204,371.528,0.0379,5500.0,0
HAT-P-37 b,13.204202,381.396,0.03793,5500.0,0
HAT-P-38 b,9.247425,84.86061,0.05231,5330.0,0
HAT-P-38 b,9.247,84.857,0.0523,5330.0,0
HAT-P-39 b,17.609,190.372,0.0509,6430.0,0
HAT-P-39 b,17.609339,180.84527,0.05095,6430.0,0
HAT-P-4 b,14.986433,216.1244,0.04465,5860.0,0
HAT-P-4 b,14.280266,206.90733,0.04449,5860.0,0
HAT-P-4 b,14.23543,216.1244,0.0446,5860.0,0
HAT-P-4 b,14.28,213.255,0.04438,5860.0,0
HAT-P-40 b,19.392,195.457,0.0608,6080.0,0
HAT-P-40 b,19.39157,184.65923,0.06076,6080.0,0
HAT-P-41 b,18.887165,252.67485,0.04258,6390.0,0
HAT-P-41 b,18.887,254.253,0.0426,6390.0,0
HAT-P-42 b,14.348,331.801,0.0575,5743.0,0
HAT-P-42 b,14.34752,279.6904,0.0575,5743.0,0
HAT-P-43 b,14.358729,232.0159,0.04445,5645.0,0
HAT-P-43 b,14.359,210.395,0.0443,5645.0,0
HAT-P-44 b,13.922,111.871,0.0507,5295.0,0
HAT-P-45 b,15.984,283.492,0.0452,6330.0,0
HAT-P-45 b,15.984034,273.3338,0.04521,6330.0,0
HAT-P-46 b,14.392,156.684,0.0577,6120.0,0
HAT-P-49 b,15.838317,562.5591,0.04378,6820.0,0
HAT-P-49 b,15.838,549.823,0.0438,6820.0,0
HAT-P-5 b,14.056086,324.1866,0.04073,5960.0,0
HAT-P-5 b,14.12,336.89,0.04075,5960.0,0
HAT-P-5 b,14.056086,336.8998,0.04071,5960.0,0
HAT-P-50 b,14.437192,429.0705,0.0453,6280.0,0
HAT-P-50 b,14.437192,431.93097,0.04527,6280.0,0
HAT-P-51 b,13.50682174,97.57332095,0.05042,5453.0,0
HAT-P-51 b,14.493237,98.84513,0.05067,5449.0,0
HAT-P-51 b,14.493237,98.20947,0.05069,5449.0,0
HAT-P-52 b,11.309881,259.98494,0.03694,5131.0,0
HAT-P-52 b,11.309881,259.66711,0.03696,5131.0,0
HAT-P-53 b,14.773462,469.43491,0.0316,5956.0,0
HAT-P-53 b,14.773462,471.65972,0.03159,5956.0,0
HAT-P-54 b,10.581296,578.4506,0.04122,4390.0,0
HAT-P-54 b,10.581296,241.5508,0.04117,4390.0,0
HAT-P-55 b,13.249038,184.3414,0.04604,5808.0,0
HAT-P-55 b,14.84069045,189.42573057,0.04628,5804.0,0
HAT-P-55 b,13.249038,184.97706,0.04604,5808.0,0
HAT-P-56 b,16.432394,692.8694,0.0423,6566.0,0
HAT-P-56 b,16.432394,603.877,0.04232,6566.0,0
HAT-P-57 b,15.838317,587.9855,0.0406,7500.0,0
HAT-P-58 b,14.93036229,118.2321674,0.04994,6078.0,0
HAT-P-59 b,12.58768533,489.45574678,0.05064,5678.0,0
HAT-P-6 b,14.90797,351.51998,0.05239,6570.0,0
HAT-P-6 b,14.908,335.932,0.05235,6570.0,0
HAT-P-6 b,15.636555,337.85329,0.05244,6570.0,0
HAT-P-6 b,14.90797,336.58197,0.05237,6570.0,0
HAT-P-60 b,18.28184752,182.43350562,0.06277,6212.0,0
HAT-P-61 b,10.07687365,335.9446262,0.0301,5587.0,0
HAT-P-62 b,12.02723629,241.86741773,0.03772,5629.0,0
HAT-P-63 b,12.5428494,195.1466419,0.04294,5400.0,0
HAT-P-64 b,19.08889413,184.34047606,0.05387,6457.0,0
HAT-P-65 b,18.05766791,176.07693748,0.04042,5872.0,0
HAT-P-65 b,21.18501,167.49641,0.03951,5835.0,0
HAT-P-66 b,17.82231,248.86089,0.04363,6002.0,0
HAT-P-67 b,23.370765,108.0622,0.06505,6406.0,0
HAT-P-68 b,12.016048,230.10892,0.02996,4508.0,0
HAT-P-69 b,18.786284,1137.8314,0.06555,7394.0,0
HAT-P-7 b,16.92559,574.00098,0.03813,6350.0,0
HAT-P-7 b,15.905571,566.05523,0.0355,6350.0,0
HAT-P-7 b,15.043,564.442,0.0377,6532.23,0
HAT-P-7 b,16.712619,534.59006,0.03676,6441.0,0
HAT-P-7 b,16.421185,571.77617,0.03805,6350.0,0
HAT-P-70 b,20.96083,2154.8874,0.04739,8450.0,0
HAT-P-8 b,16.8135,430.34182,0.04496,6200.0,0
